SA3,SA2,SA1,SA0,PF1,PF0,EL,LP,ME1,ME0,SSP1,SSP0,,SF3,SF2,SF1,SF0,LCD1,LCD0,LCD2.1,LCD2.0,Mo1,Mo0,MP,LED,SN
0,0,0,0,0,0,1,0,0,0,x,x,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,x,x,0,0,0,0,x,x,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,x,x,x,1,0,0,x,x,,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0,x,x,,1,0,0,0,1,1,0,1,0,1,1,0,0
0,0,0,0,1,0,1,0,0,0,x,x,,1,0,0,1,1,0,0,1,0,1,1,0,0
0,0,0,0,0,1,1,0,0,0,x,x,,1,0,1,0,0,1,0,1,0,1,1,0,0
0,0,0,0,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,0,0,0,0,0,0,1
0,0,0,1,x,x,x,1,x,x,x,x,,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,x,x,x,0,x,x,x,x,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,x,x,,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,x,x,0,0,0,0,x,x,,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,x,x,x,1,0,0,x,x,,0,0,1,1,0,1,0,0,0,0,0,1,1
0,0,1,0,1,1,1,0,0,0,x,x,,1,0,0,0,1,1,0,1,0,1,1,0,0
0,0,1,0,1,0,1,0,0,0,x,x,,1,0,0,1,1,0,0,1,0,1,1,0,0
0,0,1,0,0,0,1,0,0,0,x,x,,1,0,1,1,0,0,1,0,1,0,1,0,0
0,0,1,0,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,0,0,0,0,0,0,1
0,0,1,1,x,x,x,1,x,x,x,x,,0,0,1,1,0,1,0,0,0,0,0,1,1
0,0,1,1,x,x,x,0,x,x,x,x,,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,x,x,,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,x,x,0,0,0,0,x,x,,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,x,x,x,1,0,0,x,x,,0,1,0,1,1,0,0,0,0,0,0,1,1
0,1,0,0,1,1,1,0,0,0,x,x,,1,0,0,0,1,1,0,1,0,1,1,0,0
0,1,0,0,0,1,1,0,0,0,x,x,,1,1,0,0,0,1,1,0,1,0,1,0,0
0,1,0,0,0,0,1,0,0,0,x,x,,1,0,1,1,0,0,1,0,1,0,1,0,0
0,1,0,0,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,0,0,0,0,0,0,1
0,1,0,1,x,x,x,1,x,x,x,x,,0,1,0,1,1,0,0,0,0,0,0,1,1
0,1,0,1,x,x,x,0,x,x,x,x,,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,0,0,x,x,,0,1,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,x,x,0,0,0,0,x,x,,0,1,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,x,x,x,1,0,0,x,x,,0,1,1,1,1,1,0,0,0,0,0,1,1
0,1,1,0,1,0,1,0,0,0,x,x,,1,1,0,1,1,0,1,0,1,0,1,0,0
0,1,1,0,0,1,1,0,0,0,x,x,,1,1,0,0,0,1,1,0,1,0,1,0,0
0,1,1,0,0,0,1,0,0,0,x,x,,1,0,1,1,0,0,1,0,1,0,1,0,0
0,1,1,0,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,1,1,0,0,0,0,1
0,1,1,1,x,x,x,1,x,x,x,x,,0,1,1,1,1,1,0,0,0,0,0,1,1
0,1,1,1,x,x,x,0,x,x,x,x,,0,1,1,0,1,1,0,0,0,0,0,0,0
1,0,0,0,x,x,x,x,x,x,0,0,,1,0,0,0,1,1,0,1,0,1,1,0,0
1,0,0,0,x,x,x,x,x,x,0,1,,1,0,0,0,1,1,0,1,0,1,1,0,0
1,0,0,0,x,x,x,x,x,x,1,0,,1,0,0,0,1,1,0,1,0,1,1,0,0
1,0,0,0,x,x,x,x,x,x,1,1,,0,1,1,0,1,1,0,0,0,0,1,0,0
1,0,0,1,x,x,x,x,x,x,0,0,,1,0,0,1,1,0,0,1,0,1,1,0,0
1,0,0,1,x,x,x,x,x,x,0,1,,1,0,0,1,1,0,0,1,0,1,1,0,0
1,0,0,1,x,x,x,x,x,x,1,0,,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,1,x,x,x,x,x,x,1,1,,1,0,0,1,1,0,0,1,0,1,1,0,0
1,0,1,0,x,x,x,x,x,x,0,0,,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,1,0,x,x,x,x,x,x,0,1,,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,x,x,x,x,x,x,1,0,,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,1,0,x,x,x,x,x,x,1,1,,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,1,1,x,x,x,x,x,x,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,x,x,x,x,x,x,0,1,,1,0,1,1,0,0,1,0,1,0,1,0,0
1,0,1,1,x,x,x,x,x,x,1,0,,1,0,1,1,0,0,1,0,1,0,1,0,0
1,0,1,1,x,x,x,x,x,x,1,1,,1,0,1,1,0,0,1,0,1,0,1,0,0
1,1,0,0,x,x,x,x,x,x,0,0,,1,1,0,0,0,1,1,0,0,0,1,0,0
1,1,0,0,x,x,x,x,x,x,0,1,,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,x,x,x,x,x,x,1,0,,1,1,0,0,0,1,1,0,1,0,1,0,0
1,1,0,0,x,x,x,x,x,x,1,1,,1,1,0,0,0,1,1,0,1,0,1,0,0
1,1,0,1,x,x,x,x,x,x,0,0,,1,1,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,x,x,x,x,x,x,0,1,,1,1,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,x,x,x,x,x,x,1,0,,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,x,x,x,x,x,x,1,1,,1,1,0,1,1,0,1,0,1,0,1,0,0
1,1,1,0,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,1,1,0,0,0,0,1
1,1,1,0,x,x,x,x,0,0,x,x,,1,0,1,1,0,0,0,0,0,0,1,0,0
1,1,1,1,x,x,x,x,0,1,x,x,,1,1,1,0,0,0,0,0,0,0,1,0,0
1,1,1,1,x,x,x,x,1,0,x,x,,1,1,1,1,0,0,1,1,0,0,0,0,1
1,1,1,1,x,x,x,x,0,0,x,x,,1,0,1,1,0,0,0,0,0,0,1,0,0
